,Review,
52,"Была 22 ноября в районе 15.00, заказала себе боул, официант вежливо спросил насчет гарнира, я выбрала сначала черный рис, но потом сразу же изменила заказ на киноа. Официант подтвердил, сказал «хорошо». Я ждала минут 10 и мне принесли боул с белым рисом. Пришлось идти и возвращать его, так как официант не обращал внимания. После этого прошло еще минут 15-20, пока не принесли боул с киноа, но и тут было разочарование. На кухне просто убрали белый рис с предыдущей тарелки и положили киноа. Прикладываю фото.",negative
53,Всё было вкусно и приятно! Большое спасибо официантке Қарлығаш. Вежливая и шустрая 👍🏻 кухня всё понравилось.,positive
54,"Очень понравилась кухня на точке Трц Москва, официант(Карлыгаш) справляется со своей работой идеально, была очень вежлива с гостями, создала уютную атмосферу🤩 и очень шустрая, таким и надо быть сотрудником!",positive
55,Карла топ😍😍😍😍,positive
56,"Только что взяла кофе с собой, ждала минут 20, так ещё налили половину, подошла спросила так и должно быть что половину налили, взяли переделать, девушка просто сверху налила молока и с таким недовольным лицом это делала и матерились стояла пока наливала молоко, теперь на вкус галимое молоко. Просто зашла за кофе называется, испортили настроение. Я понимаю что всякое бывает, день не задался итд, но причем тут клиенты. Я очень редко пишу комментарий, меня это разозлило честное слово, не нравится, пусть увольняются чем вот с таким отношением к гостям",negative
57,"Были недавно, Уютно,Еда вкусная ,Но 600гр. Чая 1600тенге это дороговато, в Урбо ташкентский 1л 1200тенге стоит .",neutral
58,"Трц Москва, бариста Арсен, спасибо за вкусный кофе!! 2 месяца не пила кофе, и ожидание того стоило! Был очень нежный капучино с лесным орехом!",positive
59,"Мансур — мастер своего дела! Настолько приятный, внимательный и душевный, что вечер прошёл идеально. Казалось, будто обо мне заботится старый друг, он нас на 100% обслуживал. Атмосфера благодаря ему стала особенной. Обязательно вернусь сюда снова! Администрация, премию Мансуру — он просто алтын💐❤️!”",positive
60,"Как всегда вкусно и всегда много людей, что говорит о себе💛 мне у вас уютно !",positive
61,"Все было вкусно, особенно банановый тортик . Спасибо официанту Руфат) приветливый парень )",positive
62,"Беру тут кофе и не только уже несколько лет, мое одно из самых любимых мест. Жаль только что какао почему-то убрали из меню, но супер профессиональные работники, которые там работают давно, делают мне его персонально, за что люблю это место ещё больше",positive
63,Очень вкусно! Всегда хожу в кофебум с Астаны 2017 года,positive
64,"Хорошая кофейня, уютно, тихо, блюда и напитки неплохие, но особо ярких впечатлений заведение не оставило: твёдрая четверка за обслуживание и напитки с блюдами",positive
65,Из всех этот филиал больше всего нравится. Вкусно готовят и официанты очень вежливые. Поэтому являемся постоянными клиентами.,positive
66,очень хорошое заведения особенно обслуживание топ 👍.,positive
67,"очень приятные официанты, блюда очень вкусные, заведение чистое, красивое, очень советую!!",positive
68,"Отличное место очень вкусные десерты , придём ещё",positive
69,"Спасибо Coffee Boom всегда все вкусно 😋 всегда можно попробовать что то вкусное, спасибо официанту Нургуль за обслуживание ❤️",positive
70,Амиль отлично справляется со своей работой! Очень дружелюбный и отзывчивый👍🏻,positive
71,Безумно понравилось блюдо и обслуживание. Амиль очень приятный официант 👍👍,positive
72,"Сегодня при заказе чая в чашке и на блюдце были обнаружены конечности насекомого (таракана), на замечание была не адекватная реакция официанта,что это не конечности, а что-то другое. С небольшими изменениями аналогичная реакция администратора, мол тараканы ползут к ним из магнума, значит это не в первой… в итоге был испорчен аппетит. К сожалению больше сюда не придем. Кто будет здесь есть, проверяйте посуду. Относительно заведения, будьте внимательны и надо признавать вашу не правоту, а не делать из посетителей дураков!",negative
73,"Обслуживание на нуле ! Сначала ждали минут 20 чтоб подошел официант, пришлось крикнуть в итоге . Потом сырники ждали еще полчаса ! Пока сама не подошла не спросила , не собирались даже нести . Стоят втроем беседы беседуют !",negative
74,"Только что взяла кофе с собой, ждала минут 20, так ещё налили половину, подошла спросила так и должно быть что половину налили, взяли переделать, девушка просто сверху налила молока и с таким недовольным лицом это делала и матерились стояла пока наливала молоко, теперь на вкус галимое молоко. Просто зашла за кофе называется, испортили настроение. Я понимаю что всякое бывает, день не задался итд, но причем тут клиенты. Я очень редко пишу комментарий, меня это разозлило честное слово, не нравится, пусть увольняются чем вот с таким отношением к гостям",negative
75,"еда вкусная, заказали через яндекс еду не привезли хачапури , ужасное обслуживание, не внимательны ВООООБЩЕ !",negative
76,"Осторожно (!), здесь очень грубый охранник. Абсолютно неуместные замечания; разговаривает на ""ты"", в повелительном наклонении. Boom, который с Алтынсарина.",negative
77,"Охранник грубы,когда я заходил я был самокатом, он увидев меня начал грубить и начал выгонять,я ему предлагал поставить самокат в удобный место, он меня выгнал.",negative
78,"Часто посещаю именно этот филиал, уютная атмосфера, и официант Қарлығаш очень приятная, всегда с улыбкой встречает, интерьер топ",positive
79,"Была сегодня и очень довольна обслуживанием,спасибо Алишеру очень вежливый и приятный сотрудник,было вкусно,как всегда🙌🏻",positive
80,"Всё было хорошо, очень приятный официант Амир",positive
81,Спасибо Алишеру мастер своего дела,positive
82,"08.10 мы с девушкой посетили Coffee Boom и остались в восторге от обслуживания. Официант Эмиль проявил настоящий профессионализм: он был внимателен, быстро реагировал на запросы и всегда предлагал лучшие варианты из меню. Атмосфера была уютной, а чай — просто великолепными. Благодаря Эмилю, наш визит стал ещё более приятным. Обязательно вернемся снова!",positive
83,"Люблю точку кофе бума в трц Москва, вкусная еда, быстрое обслуживание, приветливый персонал! Отдельная благодарность Эмилю, уже у него постоянные гости:)",positive
84,"Кофе вкусный отлично готовят , классное место , жаль только что нужно в очереди ждать, самые вкусные десерты здесь",positive
85,"Классное место , очень вкусные десерты часто посещаем только ради этого , графские развалины самые вкусные в городе",positive
86,"Очень приятное заведение! Красивый интерьер, красивая мебель, красивая посуда… Вкусный кофе и очень вкусные десерты. Ребята официанты приветливые, внимательные, работу свою выполняют на пять! Гостям и жителям города рекомендую посетить эту кофейню.",positive
87,"Недавно был в кофе буме,на завтрак заказал себе Дальневосточный завтрак и чай имбирный.Было очень вкусно и красиво.Благодарен официанту Мирас,очень улыбчивый и позитивный парень",positive
88,"Забейте друзья, Администратор крутая и милая. Недопонимание и только, Руфат тож красавчик.❤️😌",positive
89,"Спасибо за настроение официанту Багила , очень классно посидели с семьей , дити довольные , детское меню отличный вариант , спасибо за комплимент , десерты шикарные",positive
90,"Отличное место , хороший интерьер , приятно посидели с подругами , все вкусно , спасибо официанту Багила милая девочка , прекрасно обслужила",positive
91,"Прекрасное место , были с подругами все понравилось , смузи кофе шикарный , спасибо официанту Багиле за хорошее настроение , десерты самые вкусные",positive
92,"Недавно посетила это место, и впечатления остались весьма приятные. Теплая и расслабляющая атмосфера. Но особенное впечатление произвел официант Мирас. Он был внимателен, вежлив и дружелюбен, но не навязчив! Вернусь сюда снова, и во многом благодаря такому прекрасному сервису",positive
93,"Всё очень понравилось заказывал фитучини альфредо,также хочу отметить официанта Матраса мастер своего дела, большой профессионал нареканий нету рекомендую",positive
94,"Мирас самый лучший, красивый, умный и великолепный человек. Побольше бы таких официантов как он... Моя икона! Стремлюсь стать как он Сама кафешка классная",positive
95,"Отличное заведение,10/10 Каждый день ходим сюда с друзьями перекусить после пар, официанты на отлично вы полняют свои работы, особенно официант по имени Мирас) Приятный и воспитанный парень, умеет правильно обращаться с клиентами.",positive
96,"первый раз зашла в кофе бум,очень приятное впечатление было от того что официанты все приветливые и улыбчивые,заказала себе матча бум и драники цукини,было очень вкусно",positive
97,"Официант Мирас просто чудо,наверное самый лучший человек на планете,обслуживание 11 из 10.Рекомендую ходить сюда каждый день",positive
98,"очень понравилась еда, атмосфера заведения, официант Мирас приветливый и приятныйй человек,обслужил хорошо,супер сервис😍😍 ставлю 5 звезд!!",positive
99,очень хорошое обслуживание спасибо официантке Бакось и очень вкусный кофе от бариста мерей,positive
100,"Обожаю это место, особенно тортик шоколадный",positive
101,"Место уютное, вкусное. Доступное. Только в последнее время сервис начал хромать. Заказы ждешь по 30-40 мин, особенно когда приходишь голодным и естественно это портит представление о кафешке",positive
102,"Люблю этот филиал Coffee boom в «Москве», приятное место ❤️Продолжайте также радовать нас вкусной кухней и адекватным персоналом",positive
103,"Именно это локация кофе бума я посещаю очень часто. Кофе вкусное,официанты улыбчивые. Прихожу с подругами,с семьёй. Испанский фисташковый латте моё самое любимое кофе",positive
104,"Очень хорошее заведение, часто захожу! Обстановка расслабляющая, спокойная. Еда очень вкусная. В зале ходит казах официант Мирас, очень хорошо работает, улыбается и очень вежливый. Рекомендую посетить это место",positive
105,Очень вкусно ! Спосибо огромное поварам и офицантам,positive
106,"Постоянно хожу в это заведение после учебы. Обслуживание на высшем уровне, быстро принимают заказы и быстро пго приносят. Официант Мирас очень приятный молодой человек, всегда приветлив и улыбчив, несмотря на свой возраст работает очень профессионально и никогда не отлынивает от работы. Всем советую ходить",positive
107,"Очень хорошое место хожу не первый раз, официант Мирас отлично работает, молодец, очень хорошое обслуживание, очень вкусное кофе, еда, в общем рекомендую данное заведение",positive
108,Очееень вкусный кофе 👍 Приветливый персонал,positive
109,Был сегодня в этом прекрасном заведение. Спасибо большое персоналу за хорошие сервис Все было очень вкусно,positive
110,"Вкусно, быстро, хорошее и приятное обслуживание",positive
111,"Купили сегодня горячий шоколад, крышка не была закрыта до конца и вообще потом не закрывалась, облились шоколадом, остался ожог, но девушка хорошая. В следующий раз будьте внимательны",neutral
112,"Приветливая бариста и вкусная выпечка на витрине. Быстро, вкусно и удобно",positive
113,"Приятное обслуживание,свежая выпечка, доброжелательная бариста",positive
114,"Отвратительный сотрудник, не умеет разговаривать с людьми",negative
115,"Симпатично, официант Нурбек",positive
116,"Сегодня утром у вас брал вкусное кофе капучино. была девушка с челкой , приятно обслуживает. Быстро и вкусно",positive
117,"Научите ваших сотрудников не приносить холодную шакшуку, а после просьбы разогреть чтоб горячая была - все равно чуть теплую принесли. И не извинений, ничего, как будто вчера работать наняли",positive
118,"Если бы можно было поставить больше 5 звёзд, я бы без колебаний поставил 10! Бариста – человек с большой буквы, всегда радушен и приветлив. Каждая чашка кофе, как произведение искусства, чувствуется душа и забота о каждом клиенте. Жаль, что у отзывов есть лимит, иначе ваш труд заслужил бы намного больше",positive
119,Всем рекомендую!!! Отличное место. Каждый вторник там отдыхаю с друзьями. Кофе там имба. Одно из лучших заведений во всем районе! Бариста вообще красавчик,positive
120,Единственное что может скрасить день с утра. Это вкусный кофе со свежим круассаном. Спасибо баристе,positive
121,"Видимо молодой человек сегодня не с той ноги встал ( дважды отфутболил меня. То витрина пустая в 9.40, то в 10 у него перерыв, он еду раскладывает, и даже кофе он не будет делать. Вот это сервис, ужас, как так можно с клиентами?? Больше никогда ни в один кофебум не зайду.",negative
122,"Вкусный кофе и десерты, но мало уюта.Приду еще раз как-нибудь",positive
123,Добрый день еда вкусная детская комната красивая,positive
124,"Добрый день ) Очень понравилась ваша кофейня ,находящаяся в ТЦ МОСКВА, с большим выбором блюд, десертов , напитков . Особенно хотим отметить обслуживание , в частности выражаем благодарность вашему сотруднику , Нуржану . Вежлив , внимателен и его отличное настроение при обслуживании , передается гостям кафе . Благодарим",positive
125,Очень вкусная еда хорошая заведение мне все понравился всем советую этот ресторан,positive
126,"Оооочень долго несут заказ, борщ прождала ровно час, пожалуйста сделайте с этим что-нибудь!!!!",negative
127,"Админ сегодня сонная тетеря. На замечание на грязь у входа сказала что «знает». Заказ одного блюда ждали дольше остальных. Том ям не вкусный, пицца 4 сыра не получилась : соус горчил и было мало начинки. Под портились ребята. Очень жаль.(",negative
128,Принесли теплый бефстроганов. Мясо жесткое. Ну невозможно жевать! Сказали переделают. Жду целый час. Ребят я пришла отдохнуть и покушать. Больше не придем,negative
129,"Купил шаурму фигня полная, дофига овощей, вроде готовили казахи а чуство как будто евреи",negative
130,"Полное разочарование. Как переехали уменьшили порции на блюда ровно в 2 раза. Это прям беда. Не наедаюсь вообще. Раньше фетучини с семгой кушал и был сыт. Сейчас нужно две порции заказывать 😂 вообщем, печально когда любимые заведения так резко что-то меняют и не в лучшую сторону.",negative
131,"Прихожу в это заведение уже раз 5, очень медленное обслуживание, не дозовешься официантов, по кухне все ок, но над сервисом нужно поработать",negative
132,"Лучшее кофе бум в городе, спасибо официанту Рамазану за дерзкое обслуживание",positive
133,"Были недавно у вас гостях, сегодня тоже были на обеде. Все очень понравилось, кухня очень вкусная. Обслуживание на высшем уровне👍👍 Чай отменный, спасибо за хорошее настроение🫶🏻",positive
134,Пьем чай и кофе с подругой наше место встречи возле дома🙌 очень чисто и спокойно е место для беседы с друзьями! Бека официант очень вежливый приятный парень,positive
135,Не плохо. Вкусные салаты и бефстроганов,positive
136,"Отличное просторное местом, вкусно и уютно",positive
137,Очень хорошее обслуживание и персонал все доброжелательные,positive
