review,label
магнум неплохой,neutral
Хорошие обслуживание,positive
"Наверное это топ 2 ТРЦ гАлматы, после Esentai Moll. В принципе есть все. И бренды достойные тоже есть, это вам не Мега, где только масс маркет или максимум мидл. Еда тоже на любой вкус.",positive
Нгнннннннннн,positive
"Альфаның концерті өтті, өте әдемі жер екен Алматы керемет болып көрініп тұрды, өте керемет🥰❤️",positive
Есть интересные бутики на 2 этаже. Хорошая парковка.,positive
Прппппппрпп,neutral
"Когда-то был отличный, а сейчас тихий ужас",negative
"Магазин понравился. Очень компетентные консультанты. Профессионально, без пошлости. Огромный ассортимент на любой каприз. Желаю процветания и хороших клиентов.",positive
"Стандартный ТРЦ, чистенько, приятно пахнет, народу не очень много. Всё что нужно, можно тут найти, а если не найдёшь, персонал подскажет",positive
Очень плохой администратор.,negative
Очень уютно и спокойно ),positive
Трц как трц,positive
"Неплохой центр,есть и салоны и Магнум и всё что душе угодно.Сама посещаю здесь один из салонов красоты ❤️",positive
Хороший магазин с большим ассортиментом кормов и всяких плюшек . Подобрали корм для моей вредины - Мистик. Шерсть лучше стала,positive
У вас на входе постоянно падают люди! Двое детей. Уберите это сколькзкое покрытие серого цвета?! Или ждете пока людей на скорой забирать будут?!,negative
"Машинаңыз болса, келудің қажеті жоқ. Парковка жасау өте бір үлкен мәселе",negative
"Позорное место, в котором платный туалет без мыла и воняет. Очень расстроен визитом:(",negative
Очень отзывчивые ребята и вкуснейший кофе только у них!,positive
"Хороший ТЦ, внтри очень много разных магазинов и продукции. Порадовало наличие Magnum, хорошее место чтобы ""затариться"" продуктами, все чисто и очень уютно! Овощи стараются менять очень часто, испорченные убирают практически сразу. Цены более менее демократичные. Ассортимент большой, в принципе всё что необходимо можно найти тут.

Так же на 3 этаже имеется детский мир, очень удобно расположен для тех кто живёт в верхней части города. Про детский мир думаю нет смысла писать ибо он один из лучших магазинов, остальные подобные магазины вне конкуренции.

Очень интересно реализовано наличие очень большого количества разного фатсфуда и другой еды, что тоже является большим плюсом этого ТЦ.",positive
Стреляют салютом прямо на площади у входа. В двух метрах от людей. Буду писать жалобу на e-otinish в актмат и полицию на наложение штрафа.,negative
На 4 этаже есть Ритц холл,positive
"Не очень удобно, что не видишь информационных вывесок. Возможно они есть, но для внешнего взгляда не просматриваются. Подошла к охраннику, но он не владеет информацией, пока нашли прошло много времени. И минус, что нет какой-то организованности в бутиках.",negative
люблю кушать Bahandi,positive
Единственное зачем приходят сейчас сюда люди это Магнум. Ну 80%. Ну и покушать на улице молодежь . Жаль что нет здесь больше ничего интересного,neutral
Прекрасное заведение и отличный персонал!,positive
"Отличное родное место. Раньше был простеньким, а сейчас стал более классным. Люблю посещать семьей это место, особенно летом. Так как зимой сложновато с паковкой. Нравится супермаркет. Классное место🥳",positive
"Вкусно конечно там все, но печально что ритц палас стал аллеей стрит фудов. Но все равно вкусно",neutral
"Удобная локация, компактный торговый центр, разнообразный большой фуд корт",positive
Ужасные туалеты,negative
Добавьте пожалуйста Намазхану✊,positive
Спасибо было очень уютно весело отдельно спасибо кухне шеф повару Канату было очень вкусно придём еще раз обязательно,positive
"Мош унады.
Abylay kobeyev",positive
"Классное место, особенно тепло отношусь к фуд зоне перед ТЦ.",positive
"Ритц Палас. ТРЦ.
Нечего особенного. 4 этажа.
Magnum. Банкоматы. Несколько бутиков.",positive
"Ну как то так , не совсем все плохо, и не прям вау !",neutral
"Отличное место, чтобы провести время",positive
"Очень нравится ТЦ, такой родной! На втором и третьем этаже много интересных бутиков открылось.
Кто говорит, что Ритц Палас изжил себя, тот не коренной Алматинец. Много моих знакомых любит и уважает это место. Часто в магнум хожу и в детский мир. На втором этаже тоже есть, что найти. Да, не спорю, ремонт освежить, плитку поменять, туалеты обновить… надеюсь администрация займется этим вопросом:)",positive
Морально устарел уже этот торговый центр,negative
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positive
"За парковку дерут,делать нечего. За тех персоналом никто не следит !!!! Не умеют разговаривать с людьми нормально,и за уборными не следят . Позор ! Почти в центре города находитесь",negative
"Osman doner food cort на островке лучший Донер, турецкая лепешка с медовым подсластителем вообще бомба, всем советую.. была бы оценка 10 звезд то поставил а так только 5 возможных но самых максимальных!!! 🔥🔥🔥",positive
Здравствуйте. Как я с вами могу связаться по поводу аренды?,positive
"Не рекомендую обращаться в так называемый Индпошив в Ритц-палас (2 этаж). В течение недели укорачивали брюки: одна штанина короче другой, обе вкривь и вкось.Объяснения швеи Гули: бывает. Такое бывает, если бы шила я сама, но тут ‘профессионалы’! Обрезанные остатки она выбросила, якобы ‘мусор’, хотя пакет в котором я принесла брюки сохранила, обычно туда остатки ткани и складывают нормальные швеи. Выбросила, видимо, чтобы не с чем было сравнить. При юристе центра я высказала, что даже не соизволили извиниться. На что юрист Сауле посмеиваясь ответила: ну извините. Хозяйка Зарина (там же находится в Турагентстве): можете не оплачивать, вам исправят. Опять-таки, даже не извинившись за испорченные новые брюки, потерю денег на покупку и затраченного времени. Итог: испорченные брюки - затяжки, видимый ‘невидимый шов’, следы от заглаживания ‘паром’. Отвратительный сервис. Хамство.",negative
Расположение удобное. Перед походом в горы закупаемся тут. И благо туалеты бесплатные,neutral
Істеріне адал кісілер екен.риза болдым👍🏻,positive
"За парковку 1 час 10 минут оплатила 400 тг. Спасибо, больше не приеду. Другим не советую. Благодаря новым расценкам на парковку скоро ни одного человека в ваш торговый центр не приедет. Жадность приводит к бедности)",negative
хорошо покушал на территории!,positive
"Почините терминал для оплаты парковки наличными!!! Постоянно не работает, а QR я не могу оплачивать. Почему я в долг выезжаю, если проблема с оплатой ваша а не моя.",negative
хороший торговый центр,positive
"Персонал хороший, сервис на высшем уровне))",positive
Вкусный все,positive
"Алдында қаншама бомждар жүреді инвалиттерге арналған туалет есігі жабылмайды. Парковка тек 15минут тегін, наличный оплата жоқ. Магнумда тек екі үш касса жұмс жасайды ұзынынан кезек",negative
"Вежливый персонал
Но очень все узко, если честно",positive
Туалеты чистые.,positive
"Не хватает управленца хорошего так как бывает бардак...но парковка удобная, еды много. Понимаю что на районе сложнл конкурировать. Взять им одну тематику и тогда думаю было бы очень хорошо.",neutral
"Есть бооольшая проблема с парковкой. Вечером после 23.00, толпой не могли выехать с парковки. Глючила их система оплаты. Не проходили платежи через каспи, через паркомат за нал тоже не получалось оплатить. Толпа машин металась от шлагбаума к шлагбауму, охрана не в курсе, никто ничего не знает. Оказывается такой аттракцион у них не редкость. После полуночи кто-то всё-таки появился и стали выпускать по встречке, таким образом и разъехались.
Сегодня звонит товарищ по несчастью. Его теперь не пускают на парковку под предлогом того что у него долг по оплате)) Всё-таки надо было тогда не полениться и вызвать полицию.
В общем такое впечатление что этот ТРЦ по степени менеджмента миниАлтынорда.
Ни ногой!",negative
"Ничего ососбо внутри нет. Снаружи куча очень таких себе забегаловок. Подъемником или лифтом страшно пользоваться. Кажется, что все вот вот развалится",negative
Прекрасный сервис! Чистый номер! Кафе очень вкусное,positive
"Лучший ресторан,вкусное блюдо
Персонал прекрасный
Виды офигенные🫶❤️",positive
Зынгой бари,positive
Была там очень понравилось.,positive
Рарьше были актуальные бутики,negative
Не пустили с велосипедом на уличный фудкорт,negative
Там самая вкусная еда 🥘,positive
Фигня полная!!! Не советую потеря времени!,negative
Хорошоее место,positive
"Неочем.
Какая-то фигня",negative
"Пора что то делать, совсем печально",negative
Вентиляцию почините! На третьем этаже в салоне нечем дышать!,negative
Спасибо за это заведение все было очень вкусно и обслуживание по высшей шкале официантка Ажар очень хорошо обслуживает начальник Серик спасибо Вам за ваше заведения,positive
"Позорище, парковка бесплатно 15 мин! Интересно, что можно успеть сделать в магнуме за 15 минут???",negative
"Статус Торгово-развлекательный, но ничего развлекательного нет. Одни магазины и бутики. Часто не работает эскалатор.",negative
"Грабят на парковке, при въезде потребовал оплату !
Оплата повышена до 400 тг. За повторный заезд в течение 2 часов оплата повторно 400 тг.",negative
"есть магнум, разные магазины.
но запах при входе в ритц🤢 из за фаст фудов",neutral
Приобретал iPhone в магазине эврика очень качественное обслуживание ребята молодцы быстро оперативно выдали телефон предложили установку инженер сделал ее быстро объяснил показал приду еще не раз большое спасибо,positive
"Работать с 10? А давайте в 12 открывайтесь, а в 13 00 закрывайтесь.",negative
хороший тт,positive
Парковка 200тнг так она ещё висит не мог оплатить норм ждал 15мин.,negative
"Спасибо за вкусные бургеры. Мы с коллегами заказали 3 шт, 4-бургер в подарок дали. Благодарность Адилю М. 🫶🏼",positive
Мисс Джении ❤️❤️,positive
"Понравилось что стоят кресла. Причем очень много. Есть где посидеть. Очень стильные.
Всегда обращаю на это свое внимание в торговых центрах. Туалеты отремонтированы. Чистые. Много кабинок. Нет очередей.",positive
Магазин Victoria Secret здесь есть☺️,positive
Часто виснет интернет...на кассах затор эск алаторы не работает!! Очень плохо стало здесь!!! Кто взял в аренду интересно?до сих пор Болат хозяин этих Магнум??? БЕЗОБРАЗИЕ!!!,negative
"Уважаемое руководство ритц-паласа или его хозяин. Имейте совесть . Снимать по 200 тенге после 15 минут бесплатного паркинга это хамство , я считаю . Либо сделайте для людей 30 минут хотя бы бесплатного паркинга или 100 тенге за 15 минут. Такие как я и многие другие , почти каждый день приезжают за продуктами . Что можно успеть за 15 минут. И для чего вывесили qr на въезде/выезде из паркинга. Особо тупые занимают время других людей , пока начинают сканировать и оплачивать по 3 часа. Бессовестные. Судя по отсутствию ответов другим жалующимся, клали сверху на всех и вся",negative
"Ритц-Палас полный отстой. Сегодня заехал, на шлагбауме, выезд в сторону Аль-Фараби огромная пробка. Оказалось, что шлагбаум, в сторону Достык, не работает. Сразу решил выехать, но простоял на выезд более 15 минут.пришлось заплатить за выезд 200 тенге, хотя даже не заходил в магазин. Это у них такой бизнес? Может лучше на месте Ритц-Палас сделать парк? Зачем нужен такой ТРЦ?",negative
Магнум классный,positive
"вы издеваетесь ? почему вы заставляете платить только каспи, вдруг у меня нет его?",negative
"Мне не чего не понравилось ,по тому что тут охранник на меня наехал и за материл,звал на улицу подраться молодой охранник",negative
"Паркомат снимает деньги с карты Халык, приезжаешь к шлагбауму, а там оператор говорит что надо через Каспи. В итоге платишь два раза, и деньги не возвращают. Отсталая неадекватная парковка. Могли бы давно решить все недочеты.",negative
"Какого черта шлагбаум не открывается , заехали были там 10 мин, в итоге шлагбаумы не работают, впереди стоящие машины не могли выехать , из-за этого вместе бесплатного выезда так как не прошло ещё 15 мин , мы оплатили 200тг, где все операторы ваши, будет закрыты, номеров нигде нет!!! Идиоты !",negative
"Здравствуйте,подскажите с кем связаться по поводу аренды?",positive
"Каждый раз когда еду в Алмату, забегаю поесть вкусную корейскую еду в ресторанчик Ехань , готовят Хангуки ,что ооооочень вкусно!",positive
Надеюсь здание модернизируют,negative
"Большой фудкорт, но мест где можно сесть очень мало",neutral
"Порковка и шлагбаум-КӨТ!
Малский!",negative
