,Review,
15,"Отличное заведение! 😍 Очень вкусно и атмосферно. Вежливый персонал, хорошее обслуживание, в особенности официант Альбина! С удовольствием зайду в заведение еще раз!",positive
16,"Приятная атмосфера, вежливый персонал. Обязательно загляну снова! Особая благодарность Альбине😍😍",positive
17,"Любимое заведение🫶🏻
 Сотрудники очень приветливые✨️
 Особенно девушка по имени Альбина🫂
 Очень уютно и комфортно здесь. Советую посетить🤍",positive
18,"Одно из любимых заведений города😋 Еда, атмосфера и обслуживание на высшем уровне😍 Отдельное спасибо Альбине, очень вежливая и приятная девушка) Обязательно вернемся еще)))",positive
19,"Альбина – отличный официант! Вежливая, внимательная и быстрая. Учла все пожелания, обслуживание было на высшем уровне. Спасибо за приятную атмосферу🫶🏻",positive
20,"Турар очень приятный официант! Все вовремя приносит, на все просьбы реагирует оперативно, обслуживает обалденно!",positive
21,"Турар топ топ топ падам падам 🔥
 Паста 🔥😍",positive
22,Тұрар топ топ топ😮,positive
23,вкусно и красиво😻,positive
24,"Тик токтан көріп келгенмін.Напалеон үшін келдім,десерттері бәрі өте күшті дәмді.Маған ұнады.И бізге обслужка жасаған Альбина дитін оффициант қыз.өте керемет қызмет көрсетті,пысық,өз ісінің маманы бізге бәрі ұнады👍",positive
25,"Все понравилось, официант Альбина - профессионал, приятная, милая девушка, Наполеон очень вкусный, рекомендую",positive
26,"Алматыдағы ең күшті наполеон! Жалпы өзің немесе отбасымен десерт жеп, отыру керемет жер. Бағалары жақсы. Тұрар кісі өте мейірімді, обслуживание жоғарыда!",positive
27,"Всё понравилось:блинчики, курица с овощами… Турар - лучший официант!!!",positive
28,"Зашёл. Бариста на стойке предложил присесть, официанты проигнорировали. Посадка 1/3 может меньше.Занял столик. Ждал... Нажал кнопку... Полный игнор))
 Официанты видели меня.
 Так и не получил обслуживания 🤷🏼",negative
29,"Бариста не знает свою работу
 Вежливость просто 0
 Наглый в общении с людьми, не признает своих ошибок. Остальной персонал очень хороший, все вкусно",negative
30,Вкусный наполеон 😍😍😍,positive
31,"Мне понравилось, вежливые и внимательные официанты, сначала заехал по совету взял здесь Наполеон, по словам самый лучший в городе. Ну не прям лучший, но необычный и точно стоит попробовать. Заехали на завтрак с переходом в обед, я заказал пасту с сёмгой, все отлично, не хватило только отдельно бальзамика и перца который можно молоть, жена позавтракала, ей тоже вкусно. Ребятам успехов!",positive
32,"Вчера заказала спагетти с морепродуктами, было невкусно. Подача симпатичная, но не стоит судить по обложке. Еда была холодная, будто морепродукты заранее были отварены и положили для украшения. Спагетти как будто чересчур «аль-дэнтэ», если не ошибаюсь, там был пармезан, сыр даже немного не расплавился, потому что, как я написала выше блюдо было холодное. Не стала конфликтовать, съела, оплатила и ушла. Некоторых десертов в наличии не было, тоже расстроило🥹",negative
33,"Приятное место. Очень вкусная выпечка, особенно торт наполнен! Хорошее место чтобы выпить кофе и пообщаться с друзьями!",positive
34,"Большое спасибо за прекрасное обслуживание!
 Кофе превосходный, десерты свежие, а атмосфера располагает к отдыху. Обязательно вернусь снова!
 Обслуживание отличное спасибо Турару.",positive
35,"«Очень уютная кофейня с дружелюбным персоналом, который заботится о каждом госте. Спасибо Турару. Особенно понравились свежие десерты 😍”",positive
36,"Классное место,красивый,уютный.Насчет кухни всё вкусноо всегда,и круассаны,наполеоны прям тает во рту.Обслживание на высшем уровне!",positive
37,"Өте дәмді😍🥹тәттілері
 Іші, уют, комфорт😚👒",positive
38,Обслуживание топчик👍🏻,positive
39,"Тағамдары өте дәмді, тез дайындалады, қызмет көрсету сапасы өте жоғары деңгейде👍🔥 Бәрі ұнады, рақмет!",positive
40,Это был самый вкусный наполеон в моей жизни! И сервис классный!,positive
41,"Мне очень нравится эта кофейня.
 Вкусные десерты, уютный интерьер, всё, что там есть, можно сказать продумано до мельчайшей детали.
 Хочу также отметить вежливый и заботливый персонал. Спасибо большое Администратору Камиле, что старалась урегулировать возникший конфликт между мной и другим посетителем профессионально и деликатно.
 Кратко: другой посетитель на полную громкость смотрел свои видео, перелистывая шортсы на телефоне, что мне, как посетителю мешало провести время расслабленно и в приятной обстановке за завтраком. Я вежливо попросила его надеть наушники или убавить звук на телефоне. На первую просьбу он сказал ок, но при этом продолжал в том же духе. На вторую мою просьбу он отреагировал агрессивно и сказал: ""Если тебе не нравится, то вали в другое место"". Он привёл достаточно странный аргумент, сказав, что это общественное место и что он хочет, то и будет делать. Перешел на личные оскорбления, и на просьбы Администратора заведения учитывать интересы других посетителей кофейни он демонстративно встал и начал пугать ее тем, что будет жаловаться Руководству заведения. Поэтому хочу сказать Руководству BAL: потеряв клиента в лице данного мужчины, вы приобретете других - более культурных и платежеспособных клиентов.",positive
42,"Покупаю в этой кофейне уже не первый раз, и всегда остаюсь довольна качеством выпечки. Особенно хорош песочный вишнёвый пирог – идеальный баланс сладости и кислинки. Персонал вежливый и внимательный, помогают по вопросам. Было бы удобно, если бы добавили услугу доставки.",positive
43,10/10 супер!!!,positive
44,"Апельсиновый капучино это самое ужасное что я пробовала в жизни 🤢🤮 , уберите это из меню и не травите людей",negative
45,Отзывтарды карасам Турар деген офка мен гана емес барлыгы ырза екен. Бари унады тамактары оте оте дамди Турарга болек респект👍,positive
46,"Отличное место ☺️
 Уютно,атмосферно и очень вкусно ❤️
 Десерты отдельный вид искусства 😍",positive
47,Все классно!,positive
48,"Бәрі дәмді болды! Турар офицант жақсы қызмет көрсетті, интерьер өте әдемі.",positive
49,"тагамдары оте дамди, кызмет корсету жогары денгейде, Турар бизге оте жаксы кызмет корсетти, ракмет!",positive
50,"Тамақтары тәтті, қызмет көрсету сапасы жоғары деңгейде (Турар)",positive
51,"Вкусно, уютно",positive
52,"Қызмет көрсетуі, десерттері ТОП! Әсіресе Тұрар есімді даяшы риза болдық! Өте сыпайы, кез келген өтінішті орындап, жұмысын 100% орындады! Рақымет!",positive
53,"Очень комфортная и уютная атмосфера, приветливый персонал, вкусная еда. Отдельное спасибо девушке Аяулым 💐",positive
54,"Милый персонал, вкусные завтраки",positive
55,"Беру тут Наполеон для разных праздников! Всегда все очень вкусное свежее, Наполеон и круассаны просто топ",positive
56,"Очень уютное место 😍
 Сотрудники 100/10 официант Турар 👍
 Десерты 10/10
 Чай Немножко не мой вкус а так все прекрасно 👍",positive
57,Бари Керемет 😍👍,positive
58,"Керемет жер екен. Тамаша қызмет, бәрі дәмді",positive
59,Классная атмосфера😍Еда очень вкусная 🫶🏻Вежливый персонал🥰,positive
60,Так вкусно накормили в кафе Bal и милый наш официант Мухаммед внимательный и отзывчивый 🥹🥹🥹Благодарю вас 😇,positive
61,"Всегда осы жерден тамақтанамыз тамақтары өте дәмді және свежий 😍😍,дизайны барлығы өте қатты ұнайды
 Официант Дарынға рахмет",positive
62,👍👍👍👍маған ұнады барлық жер осылай қызымет көрсетсе👍,positive
63,Өте дамді тамактары! Іші өте керемет екен офицантарыда адемі жумыс стеиді екен келесі жолы келуге түралық екен!,positive
64,"Очень хорошее место, мне нравится. Хочу поблагодарить Дастана, который принял мой заказ и быстро его принес. Он очень сильный официант ✊🏻.",positive
65,Кушти мейрамхана асиресе кызмет корсетулери Дастан Деген жигит керемет,positive
66,Очень классное заведения мне очень понравился особенно обслуживания на высшем уровне особенно хочу отметить Дастана по моему так звали его респект,positive
67,"Вчера столкнулся с крайне неприятной ситуацией. Сделал заказ, и мне пообещали, что через час торт будет у них, и его сразу доставят. Через 2.5 часа, заказа так и не было. Я несколько раз пытался связаться с ними, чтобы уточнить, в чём дело, но никакой конкретной информации получить не удалось.
 

 Если вы не можете выполнить заказ в обещанные сроки, зачем вообще давать такие обещания? Это не только вводит в заблуждение клиентов, но и создаёт крайне негативное впечатление о сервисе.
 Такое ощущение, что сотрудники сами не заинтересованы в качестве работы, а страдает от этого бизнес и его репутация. Очень жаль владельца, ведь из-за таких ситуаций теряются клиенты и доверие к компании.
 

 Крайне разочарован и не рекомендую обращаться, если важна оперативность и профессионализм.
 

 P.s по доставке был первый опыт, а место было знакомо.
 -1 клиент, но для них это ерунда.
 После 100 человек точно задумаются.
 Хотя есть такие индивиды, которые думают одним меньше больше, какая разница, в городе же кроме них никто торты за 8 тысяч не продает.
 Зачем им переживать. 😂",negative
68,"Вкусный наполеон! Обслуживание хорошее! Я отмечала день рожденья там, но почему-то скидку не сделали хотя говорили что обязательно полагается.",positive
69,Өте дәмді. Бізге ұнады😍,positive
70,"Заказали доставку на дом. Круассаны и наполеон идеальные, понравились. Но Мадлен твердый сухой, брать не советую. Написала им, в ответ получила - Мы приносим извинения и передам это кондитером, спасибо за обратную связь - come on ребята вы отправили не соответствующее пирожное???!!! Испорченные впечатления еще из за того, что все что я заказала положили в тесную коробку, все пришло друг на друге 😂",negative
71,"Блин обрадовалась что рядом с домом наконец есть кофейня, и какого было мое разочарование ужасно не вкусная кухня! Такое уютное место поменяйте повара, завтраки такие фу",negative
72,"өтеее керемеет орын, барлығыңызға советую🤙🏻 Клиенттерге қызмет көрсетуі жоғарыы деңгейде, Особенно Тұрар және Асылбек деген официанттар өте сүйкімді. Жоғары деңгей🌟",positive
73,"Завтраки вкусные, сытные. 10/10😍
 Десерты немного ожидание/реальность. Круассан был не свежим, 6/10. Тары чизкейк жирноватый, не было того самого вкуса сырного, творожного вкуса 5/10. Напитки и кофе хорошие.👍🏻 За все это у нас вышло 13 тысяч",positive
74,"Дастан мен Тұрар деген жігіттерге мың алғыс,тамақтарымызды уақытылы алып келіп берді.Көп рахмет ,жарайсыңдар жігіттер",positive
75,Тұрар топ топ🚀🚀🚀🚀,positive
76,"Тұрар деген балаға рахмет, жақсы қызмет көрсетті👍",positive
77,"Двойка за сервис, пришел заказать с собой. Два чая и выпечка. Все приготовили, но позвать и сказать, что готово не могли. Подставку и пакет пришлось просить, но даже после всего этого пришлось упаковать все самому, в куртке не удобно делать. Поработайте с персоналом.",negative
78,"Очень вкусные десерты и атмосферная кофейня, балгодарим за комплимент от кофейни и за хороший сервис!",positive
79,"Супер!
 Очень вкусно!
 Заказали спагетти с креветками и соусом из шпината, обалденно вкусно
 Салат с индейкой и запеченной тыквой не менее вкусный
 Сегодня был праздник живота
 Дополнили десертом ( Наполеон ) с чашечкой Латте
 Спасибо Вам за всё!",positive
80,"Очень стильно и уютно, персонал вежливый",positive
81,Рекламируют торт наполеон приезжаешь через весь город а его нет. Короче как всегда…,negative
82,"Атмосфера, уют , интерьер, обслуживание, вкус все на высшем уровне 💯💯💯",positive
83,"Атмосфера, интерьер красивый
 Еда и десерты очень вкусные
 Имеется даретхана и намазхана",positive
84,"Очень приятное место!
 Вкусные завтраки и кофе. Очень вежливые хостес и чуткие официанты (нас обслуживал Асылбек)",positive
85,"Сегодня посетили эту кофейню — очень красивое и уютное место. Все было невероятно вкусно, благодарим персонал за отличный сервис!Нам все понравилось 🙌🏻✨✨",positive
86,пити из пити✨,positive
87,Обслуживание топ топ!,positive
88,Десерттері дәмді,positive
89,"Все очень вкусно, оффицианты вежливые все на высшем уровне🫶🏻🫶🏻",positive
90,"Все прекрасно, понравилось",positive
91,Всё вкусно,positive
92,Как говорят театр начинается с вешалка. Так и кафе начинается с туалета. Очень чисто и красиво. Все на 5 с +. Только прохладно за счет этого постоянно просила кипяток к чаю. Я спец по чаю. Как то была разочарована. А в остальное молодцы. Обязательно придем еще,positive
93,Очень понравились интерьер и десерты,positive
94,"Классная кафешка. Супер что вместо темного бара появился BAL. Замечательный завтрак. Цены вкусные. Единственно что не понравилось: мне было прохладно, кофту я даже не снимала.На улице минус 9 и хочется тепла и горячего чаю.",positive
95,"Очень вкусный наполеон! Свежий, вкусный, настоящий! Благодарю ❤️",positive
96,"Синаббоны , вкуснО 😋 !",positive
97,"Заказала все виды круассанов, безумно вкусные,начинка, тесто, и крупные😍👍🏼 Спасибо большое ❤️",positive
98,"Очень вкусно всё, и выпечка, и блюда
 Красиво, уютно
 Но чаи невкусные, как авторские, так и обычные
 Прохладно, дует
 Обслуживание немного долгое",positive
99,"Круассаны и вся выпечка здесь действительно очень вкусные, чувствуется качество. Но обслуживание оставляет желать лучшего — очень медленно. Ещё один минус — в помещении так холодно, что чай буквально остывает за пару минут. Хотелось бы, чтобы над этим поработали",negative
100,"Посетили данное заведение, хотелось бы отметить первым делом обслуживание, которое было на высоте! Встретили приятно, проводили до столика.Очень понравились десерты и кофе. Ставлю 10/10!",positive
101,"Всегда пишу отзывы после посещения, но в этот раз так восхищена, что пишу здесь и сейчас. Крем-суп с креветками бомбический, салат с замеченным лососем тоже наивкуснейший, боюсь пробовать десерт, вдруг он будет слишком вкусный и я не захочу уходить отсюда 🙈. Подача блюд великолепная 😍",positive
102,"Уютно! Вкусно! Но девушкам лучше бы волосы собрать и надеть фартуки. А то куда не глянь - везде волосы! Это все таки пекарня, а не парикмахерская",negative
103,"Всегда свежая выпечка,вежливый персонал!очень уютно и красиво.Процветания вам!",positive
104,"Попросила поменять чай с яблоком с корицей на обычный черной ,так как эту бурду невозможно пить ,как юпи с таким химическим вкусом
 В итоге заплатила за чай который не выпила",negative
105,"Выпечка у 10/10
 Интерьер 10/10
 но напитки оставляют желать лучшего:
 чай с яблоком и корицей - просто вода с сиропом
 халва раф - слишком жидкий, без сливок, халвы не чувствуется",negative
106,"Ең бастысы персонал өте сыпайы, өз істерін сүйіп жасайтыны көрініп тұр 👏🏻👏🏻👏🏻",positive
107,"ОЧЕЕНЬ ВКУСНО, ПЕРСОНАЛ ОТЛИЧНЫЙ😍😍😍😍😍
 Девушка у десертной словно слонышко, Динара зовут🥰",positive
108,"Өте жайлы, атмосферасы ұнады, эстетикалық орын екен. Дәрет алатын жер, намаз оқуға арналған бұрышта бар. Мәзірінінде де ерекше тағамдар. Жалпы өте қатты ұнады✨🫶🏻",positive
109,"Тортики кофейни Bal самые вкусные, нежные, воздушные!!! Рекомендую обязательно попробовать!!! Взяли наполеон и медовый, оба тортика рекомендую!",positive
110,"Видимо Вселенная меня услышала, живу рядом и на районе не было приличной кофейни, наконец-то появилась кофейня “Bal” ♥️
 Не могу жить без кофе, американо вкусный ♥️
 Потихоньку изучаю все завтраки, хочу попробовать все, по десертам у меня супруг 😋
 Очень уютное, красивое эстетичное заведение, чистейшие уборные, атмосфера уюта. Кайфую от дизайна, все очень стильно и со вкусом, за что благодарю хозяев, Вы создали что-то шедевральное 💎
 А теперь лицо заведения - официанты, девочки на кассе, хостес - Супер молодцы 👏🏽 уже с порога располагающая атмосфера, Сервис на уровне ♥️♥️♥️
 Процветания Вам, будем постоянными гостями ♥️♥️♥️",positive
111,Шикарно все,positive
112,"Өте қатты ұнады!
 Официанттары жылы жүзді!",positive
113,"Люблю это место за приветливый персонал, каждый день заходим за булочками, выпечкой. Кухня тоже вкусная, оформление кофейни вообще отдельный восторг😍",positive
114,"Очень уютная атмосфера, стильный интерьер и потрясающее меню, а цены приятно удивляют. 🥰
 Особую благодарность хочется выразить официанту Дарын за великолепное обслуживание и внимание к деталям.
 Благодаря вам мы почувствовали себя как дома! Команда этого заведения действительно заслуживает похвалы за свою работу и душевное отношение. 💕
 

 Теперь BAL — одно из наших любимых местечек, которое навсегда останется в сердце! 🫶",positive
115,"Очень уютное и эстетичное место🥰😘Кухня на высшем уровне🔝Десерты очень понравились🤤Нас обслуживал парень по имени Дарын,спасибо ему огромное,очень вежливый и приятный персонал🙌🏻",positive
116,Самые вкусные круасаны! Всегда свежие и с различными начинками на любой вкус! Быстро можно заказать или приехать покушать в самом кафе!,positive
117,"Бүгін бірінші рет тамақтануға келдік.Дарын мен Аяулымға рахмет өте жоғары деңгейде қызмет көрсеткендері үшін.Таңдау тамақтарға өте көп әрі дәмді.Круассан міндетті түрде барсаңыздар дәмін көріңіздер.Қаншама жерден дәмін көрсемде,ең дәмісі осы болды.Іші өте жайлы әрі әдемі.Міндетті түрде тағы да барамыз❤️❤️",positive
118,Наполеон 😋😋👍,positive
119,"Десерты всегда свежие и вкусные. Обслуживание нравится, как будто сходила к своим близким друзьям",positive
120,"Всем советую, обслуживание на высшем уровне, персонал очень приветливый. Кухня очень вкусная 👍🏻",positive
121,Вкусно и точка,positive
122,"Стильно
 Вкучно",positive
123,Вкусно и стильно) нам понравилось)),positive
124,Наполеон очень легкий и воздушный. Как будто с мороженым 😍,positive
125,"Заказывала торт сникерс,
 полученный торт был вкусный, но он не похож на сникерс (шоколадный бисквит с кремом больше напоминающим йогуртовый крем, не было карамели, обилия орешков), поэтому прежде чем заказать попросите фото в разрезе и убедитесь что это то что вы хотели",positive
126,"Лучшее заведение, все понравилось👍🏻все на высоком уровне.Очень уютно, вкусно и красиво. Все сотрудники очень вежливые, спасибо им большое🥰. Советую всем😍🤍",positive
127,Замечательное место с уютной атмосферой и очень вкусной выпечкой. Обязательно вернусь сюда снова!,positive
128,"Уютное и стильное заведение, приятный персонал. Долгое время искали в городе вкусный Наполеон и , о чудо Мы нашли именно здесь. Нежный, насыщенный вкус. 👍👍👍",positive
129,Так уютно и вкусно 😍😼,positive
130,"Очень вкусный торт. Чувствуется, что сделано с душой и не использовались дешевые продукты.
 Спасибо! Буду только у вас заказывать ✨",positive
131,"Заказывали персиковый пирог. На видео очень красивый и выглядить аппетитна. Но когда пробвали, не вкусно. Я так хотела персиковый пирог. Ожидание и реальность точно разные.",negative
132,Амбальный шоколадный круассан имба,positive
133,Приятное заведение!,positive
134,Торт наполеон просто супер,positive
135,"Хорошие место , чисто и вкусно .синнабон очень вкусный",positive
136,"Новое крутое заведение! Интерьер выполнен на высшем уровне, столы из натурального камня, красивая подача блюд. От вкуса блюд получили настоящее гастрономическое удовольствие!!! Редко встретишь в наше время такого уровня заведения с средним чеком на двоих 15000 тг.",positive
137,Интерьер и выпечка 👍,positive
138,"Очень приятное и милое заведение. Спасибо за хорошое обслуживание официантам Альбина и Дарын. Всё было вкусно, цена соответствует качеству. Советую посетить это место✨",positive
139,"Все было очень вкусно!
 Официанты Альбина и Дарын всегда отзывчивые и вежливые🥹👍",positive
140,"Вкусная еда, приятная атмосфера и очень вежливый персонал",positive
141,"Тамаша қызмет көрсету және жылы атмосфера үшін үлкен алғысымды білдіремін!
 Дарын мен Альбина ерекше кәсібиліктері мен мейірімділіктерімен бізді қуантты. Тамақ дәмді, ал қызмет көрсету жоғары деңгейде болды.
 Міндетті түрде қайта келеміз!🔥",positive
142,"Красивое и уютное место, брали Наполеон, легкий, вкусный и совершенно не жирный! Обслуживание комфортное.",positive
143,"Благодарю за самый вкусный Наполеон 🙏
 Вкус божественный , очень нежный, свежий, красивый и неповторимо вкусный 🤩🤩🤩🤩😋😋😋😋😋 Рекомендую всем!",positive
144,"Десерттері дәмді, іші эстетикаға толы
 

 UPD: 22.11 тағы да келдім. Музыкальный вкустары күшті екен: Бритни Спирс, Гвен Стефани, Леди Гага, Марина 🙌🏻",positive
145,Самые лучшие просто десерты в городе😍 Очень вежливые и внимательные официанты - с порога встречают улыбаясь. Атмосфера здесь очень уютная. Уверена приду ещё не раз.Так держать!,positive
146,"Хочу поблагодарить за замечательное обслуживание и отличный десерт! Наполеон, который я попробовала, был восхитительным, нежный, с идеальным балансом теста и крема. Это настоящий шедевр кулинарии! Особая благодарность официанту Аяу за её чуткость и внимательность — она создала атмосферу уюта и угощала нас с душой. Также хочется поблагодарить администратора Арай за её доброжелательность и профессионализм. Атмосфера в заведении действительно оставила приятное впечатление, рекомендую всем попробовать и посетить это место!",positive
147,"Добрый вечер! Наполеон очень вкусный, но!!! Брали его 3 раза, первые два раза был волшебным, я ещё администратора поблагодарила за такой вкусный торт. Пришли в 3 раз, чего стоило ожидать! Наполеон не такой как впервые два раза! Уже мокрый, не так хрустел , коржи не такие ! Очень жаль, после рекламы идёт большой наплыв клиентов, в итоге потом вкус не такой как впервый раз! Что самое обидное, я сделала замечание и к нам даже админ не подошела и не спросила, хотя ей официантка сразу же побежала и сказала! Вот что значит когда клиентов привлекли! Удачи, больше не придем !",negative
148,Спасибо большое за божественный торт Наполеон 👍…..люди вы должны это попробовать ! Я давно не кушала такой вкуснятины !!! Гости проглотили его живьем😹,positive
149,"Пожалуй это самый вкусный Наполеон, который я заказывала когда-либо!",positive
150,"Бәрі әдемі, тамақтары дәмді,келуге тұрарлық жер бірақ қызмет көрсету сапасы нашар. Бізге қызмет көрсеткен даяшы дұрыс көмектеспеді.Бір шақырғанда бірден ыдыстарды, бүлінген нәрселерді алып кетудің орнына, әр нәрсе үшін шақырып отырдық.Үнемі мынаны алып кетіңіз, мынаны әкеліңіз деп. Чизкейкты шоколадсыз әкелді, бірден шоколад қосайық па, шоколад, крошка бөлек ақша тұрады деп айтылмады. Мә деп қоя салды.",negative
151,Самый вкусный напалион просто супер 👍🏻,positive
152,"Классная кофейня, атмосфера супер. Хорошее обслуживание Асылбек топ✅😍",positive
153,"Асылбек крутой официант спасибо , было всё вкусно❤️",positive
154,"Хорошее место, внутри уютно и просторно
 Официант Дамир очень приятный молодой человек, пунктуальный и вежливый, быстро обслуживает
 Чай с облепихой очень вкусный, отдельное спасибо бариста
 Обязательно приду еще раз💞",positive
155,"Зашла сюда случайно, согреться. Очень красивое и уютное заведение, персонал отличный. Обслуживал официант Дамир, очень приятный и дружелюбный человек. Советую!✨",positive
156,"Была в этой кофейне. Десерты потрясающие, а обслуживание замечательное. Дарын был очень внимательным, спасибо ему за отличный сервис.
 П.с. Советую шоколадный круассан 😋😋",positive
157,Вкусные и сытные завтраки с оригинальной подачей. Приятный интерьер и внимательный персонал.,positive
158,"Очень уютное заведение и очень вкусная кухня. Много выбора десертов, приятная атмосфера, красивый дизайн интерьера. Вежливый персонал. Процветания вам! 🥰",positive
159,"очень уютная коыейня и вежливый официант💛 спасибо ему, что помог зарядить телефон",positive
160,Заведение супер! Сервис на высшем уровне! Завтраки классные!,positive
161,"Ух, отличное место! Взяли торт сникерс, медовик, кофе. Было очень вкусно! Спасибо! Так же спасибо за быстрое и вежливое обслуживание!",positive
162,уютное местооо,positive
163,"Керемет жер . Сіздерге наполеон тортын алуға кеңес беремін , өте тойымды , әрі дәмі үйде анамыз пісіретін наполеонға татиды . Даяшылар да сыпайы , ақкөңіл . Сервиске рақмет!",positive
164,Отличная кухня и очень внимательный персонал. Особая благодарность официанту Дарын .,positive
165,"Вчера заказывали наполеон: ну очень понравился!
 Безумно вкусный торт, выше всяких похвал!
 Не крем, а мороженое, не коржи, а легкие таящие во рту кусочки слоеного теста!
 Такого «наполеона» нигде не пробовали! Спасибо!",positive
166,Круассан с нутеллой…❤️,positive
167,"Давно хотела посетить данное заведение и вчера наконец удалось это сделать.
 Мне понравилась абсолютно всё! Интерьер, сервис, персонал, чистота, еда и выпечка всё на высшем уровне.
 Отдельное благодарность администратору за помощь 🤍",positive
168,"Очень красиво. Обслуживания, локация, сервис, кухня 10/10😍",positive
169,"Недавно посетила заведение, очень понравился интерьер, уютно 😍 вкусные завтраки и божественные десерты 🤤 Спасибо обслуживающему персоналу на оперативное обслуживание и вежливость 🫶🏻",positive
170,"Посетил заведение первый раз, сказали что недавно открылись, очень вкусные десерты и завтраки. Романтичное место 🙂 Спасибо Альбине",positive
171,"Отличное заведение, вежливый персонал. Особенной абалденные круассаны",positive
172,"Классное , уютное заведение с приятными ценами , возле речки . Приятный персонал , выпечка 🥐 супер",positive
173,"Очень вкусные торты, персонал вежливый, оперативно отвечают на запросы, заказывала торт на день рождение, на следующий день был уже готов)) советую всем, не пожалеете",positive
174,Наконец отличное заведение на территории коктема😎 вдоль весновки все больше классных заведений🔥,positive
175,Bal кофейнясының тамақтары да қызмет көрсетуі да ұнады.Дарынға рахмет!,positive
176,"Өте керемет кофейня 😍 официант Дарын өте сыпайы, бізге ұнады👍",positive
177,"Бәрі керемет, Дарын🔥🔥🔥",positive
178,"Бал, уютное местечко
 выпечки и затраки очень вкусные.
 Витриншицы Айман и Динара вежливые и улыбчивые, очень приятные!
 Основное меню что то с чем то, вкуснее нечего не ел)
 Советую попробовать круассаны и завтраки
 Спасибо вам🤍",positive
179,"тут все так вкусно, особенно завтраки!!😋Мне прям понравилось пирог с вишней,вообще топтоп,витринщица Айман крутая,все идеально и профессионально ☺️
 Спасибо вам🥰 приходите в BAL🤎 всем советую ☺️🫶🫶🫶🫶",positive
180,"Прекрасное местечко 🌞
 Вкусные блюда, особенно все сладости и выпечки на витрине (мне особенно понравилось клубничный и миндальный круассан)а из бара облепиховый чай🤗🤗🤗
 Девушка на витрине (Айман) вежливая и все понятно объясняет!
 Мне очень понравилось 🥰 спасибо 🤍🤍🤍",positive
181,"Очень вкусная кухня завтраки и обеды есть 👍🏻 Морталелла с яичницей 🔥Выпечка и торты нам все понравилось😍 Официанты молодцы 👏🏻 очень вежливые !
 Очень красивое эстетичное место и цены приемлимые. Очень довольна 🫶🏻",positive
182,вкусная выпечка 💓,positive
183,"Очень уютное местечко, а главное еда супер вкусная. Советую попробовать пасту с креветками. Официант Дарын очень вежливый, нам понравилось!!",positive
